target,label,original
video/hero.mp4,Hero video,0308-2.mp4
img/gallery-01.jpg,Gallery photo,dji_mimo_20260309_143028
img/gallery-02.jpg,Gallery photo,dji_mimo_20260309_143128
img/gallery-03.jpg,Gallery photo,dji_mimo_20260309_143220
img/gallery-04.jpg,Gallery photo,dji_mimo_20260309_143406
img/gallery-05.jpg,Gallery photo,dji_mimo_20260309_143424
img/gallery-06.jpg,Gallery photo,dji_mimo_20260309_143528
img/gallery-07.jpg,Gallery photo,dji_mimo_20260309_143602
img/gallery-08.jpg,Gallery photo,dji_mimo_20260309_143710
img/gallery-09.jpg,Gallery photo,dji_mimo_20260309_143916
img/gallery-10.jpg,Gallery photo,dji_mimo_20260309_144014
img/equip-hero.jpg,Equipment hero,
img/equip-arsenal.jpg,01 Arsenal Strength,
img/equip-atlantis.jpg,02 Atlantis,
img/equip-hammer.jpg,03 Hammer Strength,
img/equip-rogers.jpg,04 Rogers Athletic,
img/gym-hero.jpg,Gym floor hero,
img/sauna.jpg,Sauna,
img/addons-hero.jpg,Add-ons hero,
img/membership-hero.jpg,Membership hero,
img/kickboxing-hero.jpg,Kickboxing hero,
